ranking,podcast,produtora,país,formato,data-base,link
40,Papo de Gordo,Papo de Gordo,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/a82a26d0-1fe3-012e-02b0-00163e1b201c
41,Inglês Todos os Dias,Tim Barret,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/a4cc6c90-24c4-0133-b019-0d11918ab357
42,Papricast,www.paprica.org,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/e92f8c10-fe72-012e-e8f9-525400c11844
43,Foro de Teresina,revista piauí,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/c30f72e0-3a5a-0136-fa7b-0fe84b59566d
45,GVCAST,Flávio Augusto da Silva,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/df073e50-34c5-0133-b639-0d11918ab357
46,marchwill,William Marchiori,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/17c09400-2450-0131-73be-723c91aeae46
47,Durma com essa,Nexo Jornal,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/f542da80-9aad-0136-7b93-27f978dac4db
48,Boa Noite Internet,crisdias,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/bebaacf0-d567-0136-3249-08b04944ede4
49,Revolushow,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/ca3a2360-cb21-0134-10da-25324e2a541d
50,Fronteiras Invisíveis do Futebol,Central3,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/6485d160-54dc-0133-c893-0d11918ab357
51,Caixa de Histórias,B9,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/9b903b80-067c-0133-1b14-059c869cc4eb
54,Guia Prático,Manual do Usuário e Gizmodo Brasil,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/d04b4f00-7733-0130-0031-723c91aeae46
55,Área de Transferência,Área de Transferência,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/cb3c3350-a617-0134-1060-25324e2a541d
56,DEVNAESTRADA,devnaestrata.com.br,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/423c20f0-e75d-0132-0d24-059c869cc4eb
57,Eu tava lá,AGÊNCIA DE PODCAST,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/8671dda0-f8da-0135-c260-7d73a919276a
58,ResumoCast,Gustavo Carriconde,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/0ef1aa00-9b86-0133-2dcb-6dc413d6d41d
59,MotherChip,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/c2e3b8f0-1856-0132-afce-5f4c86fd3263
60,Papo Torto,Half Deaf,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/592eb7b0-ddb0-0133-2e9f-6dc413d6d41d
61,Podcrastinadores,Podcrastinadores,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/f48614a0-1a2a-0131-6eb6-723c91aeae46
63,Mundo Corporativo - Max Gehringer,CBN,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/6b1c8050-1fe3-012e-02b0-00163e1b201c
64,"RELOADING - Atualize-se, gamer!","Bruno Carvalho, Edu Aurrai e Felipe Mesquita",Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/b28d77a0-c38f-0132-3c5e-0b39892d38e0
65,omelete,Omelete,Brasil,,2019-07-27,https://play.pocketcasts.com/web/discover/podcast/b0078db0-d1ff-0130-3b4d-723c91aeae46
