episode_title,episode_date,length_minutes,n_episodes,title,author,frequency
NerdCast 654 - As pessoas não aprendem,2019-01-04,87,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 35 - Robôs da Ficção,2019-01-04,48,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 653 - Política Internacional 2018,2018-12-28,113,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 48 - Três perguntas sobre empreendedorismo,2018-12-28,52,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 652 - O SOBRENATURAL NÃO ECZISTE! OU NÃO… 2,2018-12-21,114,830,NerdCast,Jovem Nerd,Weekly podcast
"Speak English 11 - Tradução, adaptação e localização",2018-12-21,59,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 651 - Adaptações: Das páginas para as telas,2018-12-14,111,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCash 06 - Investindo em 2019,2018-12-14,43,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 650 - O Melhor de 650 Nerdcasts!,2018-12-07,152,830,NerdCast,Jovem Nerd,Weekly podcast
"NerdCast 649 - Aquaman, uma estrela do mar #TurumTsss",2018-12-07,85,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 34 - Multiplayer: um ping de amor!,2018-12-07,45,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 648 - Robin Hood – O bom ladrão?,2018-11-30,73,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 47 - Empreendedor de palco,2018-11-30,58,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 647 - Comidas Horríveis,2018-11-23,91,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 10 - Analisando frases de filmes,2018-11-23,56,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 646 - Stan Lee: Excelsior!,2018-11-16,94,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 645 - Demolidor: pano de bunda te deixa sem fôlego,2018-11-09,95,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCash 05 - Dissecando as diferenças: Banco vs Corretora,2018-11-09,40,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 644 - Essa minha timidez,2018-11-02,98,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 33 - O emprego dos sonhos,2018-11-02,54,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 643 - Manual do protocolo social 2,2018-10-26,103,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 46 - Empreendedorismo é sorte,2018-10-26,52,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 642 - Privacidade na Internet,2018-10-19,77,830,NerdCast,Jovem Nerd,Weekly podcast
Speak English 09 - Para não continuar errando,2018-10-19,38,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 641 - Traumas de Infância 2,2018-10-12,109,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCash 04 - Investindo com segurança,2018-10-12,53,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 640 - Conflitos nos Balcãs,2018-10-05,101,830,NerdCast,Jovem Nerd,Weekly podcast
